samples	TC	bombus.count	non.bombus	tip
Fr11.012_Bombus_lucorum_2	2	1	1	Fr11.012_Bombus_lucorum_2 (Tot seq=2)
Fr11.012_Bombus_lucorum_3	1	1	0	Fr11.012_Bombus_lucorum_3 (Tot seq=1)
GU131043_Nosema_ceranae_Apis_mellifera	2	0	2	GU131043_Nosema_ceranae_Apis_mellifera (Tot seq=2)
GU131083_Nosema_ceranae_Apis_mellifera	1	0	1	GU131083_Nosema_ceranae_Apis_mellifera (Tot seq=1)
GU131117_Nosema_ceranae_Apis_mellifera	2	0	2	GU131117_Nosema_ceranae_Apis_mellifera (Tot seq=2)
HM142728_Nosema_bombi_Bombus_occidentalis	1	1	0	HM142728_Nosema_bombi_Bombus_occidentalis (Tot seq=1)
HM370543_Nosema_bombi_Bombus_lucorum	4	4	0	HM370543_Nosema_bombi_Bombus_lucorum (Tot seq=4)
HM370549_Nosema_bombi_Bombus_saltuarius	4	4	0	HM370549_Nosema_bombi_Bombus_saltuarius (Tot seq=4)
ID744675_Bombus_bifarius_1	2	2	0	ID744675_Bombus_bifarius_1 (Tot seq=2)
ID744675_Bombus_bifarius_2	1	1	0	ID744675_Bombus_bifarius_2 (Tot seq=1)
IL10.006_Bombus_affinis_1	1	1	0	IL10.006_Bombus_affinis_1 (Tot seq=1)
IL10.006_Bombus_affinis_4	1	1	0	IL10.006_Bombus_affinis_4 (Tot seq=1)
JN872219_Nosema_sp._Bombus_lepidus	5	5	0	JN872219_Nosema_sp._Bombus_lepidus (Tot seq=5)
JN872221_Nosema_sp._Bombus_friseanus	2	2	0	JN872221_Nosema_sp._Bombus_friseanus (Tot seq=2)
JN872223_Nosema_sp._Bombus_friseanus	1	1	0	JN872223_Nosema_sp._Bombus_friseanus (Tot seq=1)
JN872226_Nosema_sp._Bombus_festivus	1	1	0	JN872226_Nosema_sp._Bombus_festivus (Tot seq=1)
JN872227_Nosema_sp._Bombus_festivus	1	1	0	JN872227_Nosema_sp._Bombus_festivus (Tot seq=1)
JN872229_Nosema_sp._Bombus_friseanus	1	1	0	JN872229_Nosema_sp._Bombus_friseanus (Tot seq=1)
JN872230_Nosema_bombi_Bombus_rufofasciatus	2	2	0	JN872230_Nosema_bombi_Bombus_rufofasciatus (Tot seq=2)
JN872231_Nosema_bombi_Bombus_friseanus	1	1	0	JN872231_Nosema_bombi_Bombus_friseanus (Tot seq=1)
JN872233_Nosema_bombi_Bombus_friseanus	2	2	0	JN872233_Nosema_bombi_Bombus_friseanus (Tot seq=2)
JN872235_Nosema_bombi_Bombus_friseanus	1	1	0	JN872235_Nosema_bombi_Bombus_friseanus (Tot seq=1)
JN872236_Nosema_bombi_Bombus_friseanus	2	2	0	JN872236_Nosema_bombi_Bombus_friseanus (Tot seq=2)
JN872238_Nosema_sp._Bombus_pyrosoma	1	1	0	JN872238_Nosema_sp._Bombus_pyrosoma (Tot seq=1)
JN872239_Nosema_sp._Bombus_impetuosus	5	5	0	JN872239_Nosema_sp._Bombus_impetuosus (Tot seq=5)
JN872242_Nosema_sp._Bombus_friseanus	1	1	0	JN872242_Nosema_sp._Bombus_friseanus (Tot seq=1)
JN872243_Nosema_sp._Bombus_friseanus	1	1	0	JN872243_Nosema_sp._Bombus_friseanus (Tot seq=1)
JN872244_Nosema_sp._Bombus_trifasciatus	1	1	0	JN872244_Nosema_sp._Bombus_trifasciatus (Tot seq=1)
JN872245_Nosema_sp._Bombus_festivus	1	1	0	JN872245_Nosema_sp._Bombus_festivus (Tot seq=1)
JN872246_Nosema_sp._Bombus_festivus	1	1	0	JN872246_Nosema_sp._Bombus_festivus (Tot seq=1)
JN872248_Nosema_sp._Bombus_festivus	1	1	0	JN872248_Nosema_sp._Bombus_festivus (Tot seq=1)
JN872249_Nosema_sp._Bombus_flavescens	1	1	0	JN872249_Nosema_sp._Bombus_flavescens (Tot seq=1)
